Month,Import_Country,Import_Continent,US_Dollar_Value,Tonnes,Data_Type,Year
Nov,Algeria,Africa,"30,086.25",12.1888,Estimate,2016
Dec,Algeria,Africa,"27,766.95",11.2492,Estimate,2016
May,Australia,Oceania,"15,63,954.00",979.28,Actual,2016
Oct,Australia,Oceania,"21,88,793.50",65.3871,Estimate,2016
Nov,Australia,Oceania,"21,78,512.37",61.8372,Estimate,2016
Dec,Australia,Oceania,"21,68,231.25",58.2873,Estimate,2016
Jun,Austria,Europe,"48,015.00",20,Actual,2016
Aug,Austria,Europe,"49,759.00",20,Actual,2016
Sep,Austria,Europe,"78,917.12",6.4171,Estimate,2016
Oct,Austria,Europe,"79,496.84",6.6494,Estimate,2016
Nov,Austria,Europe,"80,076.57",6.8816,Estimate,2016
Dec,Austria,Europe,"80,656.29",7.1138,Estimate,2016
Feb,Bangladesh,Asia,"1,69,807.00",107.699,Actual,2016
Apr,Bangladesh,Asia,"6,10,031.00",377.73,Actual,2016
Oct,Bangladesh,Asia,"4,80,837.75",65.5976,Estimate,2016
Nov,Bangladesh,Asia,"4,84,365.85",67.7177,Estimate,2016
Dec,Bangladesh,Asia,"4,87,893.94",69.8377,Estimate,2016
Jan,Brazil,Latin America,"87,587.00",47.62,Actual,2016
Feb,Brazil,Latin America,"4,97,557.00",281.376,Actual,2016
Mar,Brazil,Latin America,"4,34,838.00",253.482,Actual,2016
Apr,Brazil,Latin America,"4,57,191.00",279.279,Actual,2016
May,Brazil,Latin America,"5,57,019.00",331.73,Actual,2016
Jun,Brazil,Latin America,"3,84,758.00",232.167,Actual,2016
Jul,Brazil,Latin America,"4,83,357.00",284.981,Actual,2016
Aug,Brazil,Latin America,"9,99,849.00",540.423,Actual,2016
Sep,Brazil,Latin America,"5,91,704.00",336.115,Actual,2016
Oct,Brazil,Latin America,"6,89,462.34",340.0918,Estimate,2016
Nov,Brazil,Latin America,"6,71,557.63",335.6551,Estimate,2016
Dec,Brazil,Latin America,"6,53,652.92",331.2183,Estimate,2016
May,Canada,North America,"1,99,852.00",101.588,Actual,2016
Jul,Canada,North America,"3,79,864.00",200.212,Actual,2016
Nov,Canada,North America,"2,96,659.03",24.5482,Estimate,2016
Dec,Canada,North America,"2,97,876.49",25.2695,Estimate,2016
Jan,China,Asia,"12,30,187.00",739.122,Actual,2016
Feb,China,Asia,,495.684,Actual,2016
Mar,China,Asia,"4,30,864.00",252.246,Actual,2016
Apr,China,Asia,"12,55,918.00",753.436,Actual,2016
May,China,Asia,"13,96,187.00",804.506,Actual,2016
Jun,China,Asia,"90,26,484.00","5,517.99",Actual,2016
Jul,China,Asia,"21,68,021.00","1,249.16",Actual,2016
Aug,China,Asia,"34,58,185.00","1,973.06",Actual,2016
Sep,China,Asia,"19,84,192.00","1,129.64",Actual,2016
Jan,Colombia,Latin America,"5,16,399.00",300,Actual,2016
Feb,Colombia,Latin America,,300.638,Actual,2016
Mar,Colombia,Latin America,"4,84,238.00",301.276,Actual,2016
Apr,Colombia,Latin America,"5,15,396.00",300,Actual,2016
May,Colombia,Latin America,"1,58,096.00",100,Actual,2016
Jun,Colombia,Latin America,"3,11,837.00",200,Actual,2016
Jul,Colombia,Latin America,"6,27,759.00",400,Actual,2016
Aug,Colombia,Latin America,"6,23,626.00",400,Actual,2016
Sep,Colombia,Latin America,"6,30,577.00",400,Actual,2016
Oct,Colombia,Latin America,"11,04,543.29",269.1219,Estimate,2016
Nov,Colombia,Latin America,"11,11,294.39",275.8375,Estimate,2016
Dec,Colombia,Latin America,"11,18,045.48",282.5531,Estimate,2016
Jan,Costa Rica,Latin America,"2,14,044.00",119.35,Actual,2016
Feb,Costa Rica,Latin America,,123.6125,Actual,2016
Mar,Costa Rica,Latin America,"2,19,723.00",127.875,Actual,2016
Apr,Costa Rica,Latin America,"2,21,241.00",127.875,Actual,2016
May,Costa Rica,Latin America,"90,439.00",50.814,Actual,2016
Jun,Costa Rica,Latin America,"4,59,735.00",255.75,Actual,2016
Jul,Costa Rica,Latin America,"4,58,573.00",253.36,Actual,2016
Aug,Costa Rica,Latin America,"2,18,696.00",119.35,Actual,2016
Sep,Costa Rica,Latin America,"2,26,361.00",119.35,Actual,2016
Oct,Costa Rica,Latin America,"3,90,837.31",126.7676,Estimate,2016
Nov,Costa Rica,Latin America,"3,99,079.38",131.6861,Estimate,2016
Dec,Costa Rica,Latin America,"4,07,321.44",136.6045,Estimate,2016
May,El Salvador,Latin America,"4,33,284.00",203.662,Actual,2016
Nov,El Salvador,Latin America,"3,73,021.89",12.8845,Estimate,2016
Dec,El Salvador,Latin America,"3,66,891.97",10.7176,Estimate,2016
Jan,Hong Kong,Asia,"23,76,071.00","1,393.30",Actual,2016
Feb,Hong Kong,Asia,,745.37,Actual,2016
Mar,Hong Kong,Asia,"1,56,227.00",97.44,Actual,2016
Apr,Hong Kong,Asia,"4,88,977.00",310.5,Actual,2016
May,Hong Kong,Asia,"4,61,117.00",291.452,Actual,2016
Jun,Hong Kong,Asia,"1,58,840.00",97.44,Actual,2016
Aug,Hong Kong,Asia,"6,80,876.00",407.723,Actual,2016
Oct,Hong Kong,Asia,"2,42,497.45",138.6881,Estimate,2016
Nov,Hong Kong,Asia,"1,30,701.06",100.1575,Estimate,2016
Dec,Hong Kong,Asia,"18,904.68",61.6269,Estimate,2016
Jan,India,Asia,"2,62,921.00",151.866,Actual,2016
Feb,India,Asia,"4,41,426.00",275,Actual,2016
Apr,India,Asia,"22,88,983.00","1,264.76",Actual,2016
May,India,Asia,"31,78,931.00","1,866.46",Actual,2016
Jul,India,Asia,"27,26,258.00","1,502.45",Actual,2016
Aug,India,Asia,"19,57,989.00","1,008.00",Actual,2016
Oct,India,Asia,"19,48,773.51",802.0144,Estimate,2016
Nov,India,Asia,"19,61,653.46",813.6024,Estimate,2016
Dec,India,Asia,"19,74,533.41",825.1905,Estimate,2016
Jan,Indonesia,Asia,"42,63,066.00","2,593.03",Actual,2016
Feb,Indonesia,Asia,,"3,131.83",Actual,2016
Mar,Indonesia,Asia,"60,87,397.00","3,670.64",Actual,2016
Apr,Indonesia,Asia,"68,09,123.00","4,054.71",Actual,2016
May,Indonesia,Asia,"36,13,248.00","2,059.75",Actual,2016
Jun,Indonesia,Asia,"38,82,966.00","2,286.83",Actual,2016
Jul,Indonesia,Asia,"85,82,585.00","5,040.88",Actual,2016
Aug,Indonesia,Asia,"94,52,670.00","5,451.76",Actual,2016
Sep,Indonesia,Asia,"1,18,96,032.00","6,958.92",Actual,2016
Oct,Indonesia,Asia,"47,17,444.66","3,162.53",Estimate,2016
Nov,Indonesia,Asia,"44,73,920.33","3,092.93",Estimate,2016
Dec,Indonesia,Asia,"42,30,396.00","3,023.33",Estimate,2016
Jan,Israel,Asia,"54,97,301.14",117.1747,Estimate,2016
Feb,Israel,Asia,"56,89,906.91",110.6418,Estimate,2016
Mar,Israel,Asia,"58,82,512.69",115.0719,Estimate,2016
Apr,Israel,Asia,"60,75,118.47",118.6332,Estimate,2016
May,Israel,Asia,"62,67,724.25",119.1054,Estimate,2016
Jun,Israel,Asia,"64,60,330.03",124.8889,Estimate,2016
Jul,Israel,Asia,"66,52,935.81",124.1338,Estimate,2016
Aug,Israel,Asia,"68,45,541.59",111.7832,Estimate,2016
Sep,Israel,Asia,"70,38,147.37",120.1678,Estimate,2016
Oct,Israel,Asia,"72,30,753.15",129.629,Estimate,2016
May,Italy,Europe,"2,10,428.00",88.11,Actual,2016
Sep,Italy,Europe,"6,09,169.83",81.5416,Estimate,2016
Oct,Italy,Europe,"6,03,275.74",78.7538,Estimate,2016
Nov,Italy,Europe,"5,97,381.66",75.966,Estimate,2016
Dec,Italy,Europe,"5,91,487.58",73.1782,Estimate,2016
Jan,Japan,Asia,"4,79,69,921.00","29,186.75",Actual,2016
Feb,Japan,Asia,"3,15,99,895.00","18,746.61",Actual,2016
Mar,Japan,Asia,"4,56,62,271.00","26,573.62",Actual,2016
Apr,Japan,Asia,"5,14,58,563.00","30,085.88",Actual,2016
May,Japan,Asia,"5,62,39,749.00","33,003.10",Actual,2016
Jun,Japan,Asia,"4,77,52,309.00","27,439.76",Actual,2016
Jul,Japan,Asia,"6,65,12,385.00","39,055.75",Actual,2016
Aug,Japan,Asia,"5,26,15,373.00","29,690.54",Actual,2016
