Month,Import_Country,Import_Continent,US_Dollar_Value,Tonnes,Data_Type,Year
Oct,Austria,Europe,"12,50,012.79",752.5251,Actual,2015
Nov,Austria,Europe,"8,07,914.21",509.1749,Actual,2015
Nov,Bangladesh,Asia,"14,01,996.00","1,004.09",Actual,2015
Mar,Belgium,Europe,"4,27,815.52",200.6436,Actual,2015
May,Belgium,Europe,"55,272.19",25.1429,Actual,2015
Jun,Belgium,Europe,"1,37,379.17",74.9058,Actual,2015
Aug,Belgium,Europe,"3,00,370.98",175.8006,Actual,2015
Sep,Belgium,Europe,"1,26,779.48",75.5239,Actual,2015
Oct,Belgium,Europe,"85,312.22",49.8809,Actual,2015
Nov,Belgium,Europe,"5,01,365.44",300.9233,Actual,2015
Jan,Botswana,Africa,"8,725.41",61.1798,Actual,2015
Feb,Botswana,Africa,"7,271.14",50.5795,Actual,2015
Mar,Botswana,Africa,"4,379.43",30.5001,Actual,2015
Apr,Botswana,Africa,"6,936.54",50.6595,Actual,2015
May,Botswana,Africa,"4,118.01",30.3904,Actual,2015
Jun,Botswana,Africa,"6,277.62",45.6931,Actual,2015
Jul,Botswana,Africa,"11,409.07",79.9353,Actual,2015
Oct,Botswana,Africa,"75,975.28",20.355,Actual,2015
Nov,Botswana,Africa,"5,152.49",40.6122,Actual,2015
May,Brazil,Latin America,"41,32,786.66","1,934.91",Actual,2015
Jun,Brazil,Latin America,"8,25,200.79",336.8852,Actual,2015
Jul,Brazil,Latin America,"4,74,219.03",223.2038,Actual,2015
Dec,Brazil,Latin America,"5,88,218.53",330.4395,Actual,2015
Jan,China,Asia,"1,06,955.01",42.929,Actual,2015
Feb,China,Asia,"28,740.81",8.5632,Actual,2015
Apr,China,Asia,"32,013.29",9.6336,Actual,2015
Jun,China,Asia,"10,253.67",8.5632,Actual,2015
Jul,China,Asia,"27,743.22",8.5632,Actual,2015
Aug,China,Asia,"28,399.77",9.3895,Actual,2015
Sep,China,Asia,"8,651.05",8.5632,Actual,2015
Oct,China,Asia,"29,517.10",8.9914,Actual,2015
Nov,China,Asia,"6,169.08",4.4957,Actual,2015
Jan,Czech Rep.,Europe,"2,27,314.00",97.032,Actual,2015
Feb,Czech Rep.,Europe,"3,51,819.00",147.138,Actual,2015
Apr,Czech Rep.,Europe,"1,09,042.00",50.311,Actual,2015
Nov,Czech Rep.,Europe,"1,95,874.00",100.236,Actual,2015
Jan,France,Europe,"1,71,497.55",78.3355,Actual,2015
Feb,France,Europe,"1,30,422.61",68.5118,Actual,2015
Apr,France,Europe,"88,255.65",42.9113,Actual,2015
May,France,Europe,"1,55,586.28",69.2432,Actual,2015
Jun,France,Europe,"34,09,240.90","1,693.41",Actual,2015
Jul,France,Europe,"10,01,587.78",511.2784,Actual,2015
Aug,France,Europe,"11,52,593.56",582.7159,Actual,2015
Sep,France,Europe,"10,82,296.70",621.8481,Actual,2015
Oct,France,Europe,"11,50,151.97",625.0177,Actual,2015
Nov,France,Europe,"7,82,873.92",434.2148,Actual,2015
Dec,France,Europe,"4,87,609.08",278.4358,Actual,2015
Feb,Gabon,Africa,"41,854.40",11.4945,Actual,2015
Mar,Gabon,Africa,"27,818.60",5.0755,Actual,2015
Apr,Germany,Europe,"39,38,090.71","1,806.90",Actual,2015
May,Germany,Europe,"31,46,591.74","1,499.43",Actual,2015
Jun,Germany,Europe,"21,92,910.02","1,117.49",Actual,2015
Jul,Germany,Europe,"55,95,770.27","2,694.53",Actual,2015
Aug,Germany,Europe,"9,42,358.58",447.1034,Actual,2015
Sep,Germany,Europe,"5,26,843.79",222.6501,Actual,2015
Oct,Germany,Europe,"40,11,421.95","2,347.26",Actual,2015
Nov,Germany,Europe,"34,75,453.95","1,939.74",Actual,2015
Jan,Hong Kong,Asia,"24,73,868.33","1,052.38",Actual,2015
Feb,Hong Kong,Asia,"34,94,222.68","1,477.26",Actual,2015
Mar,Hong Kong,Asia,"52,57,993.82","2,423.63",Actual,2015
