Country,Country_Type,Commodity,Year,Month,Export_Country,Import_Country,USD_Value,Tonnes,Data_Type
Japan,Import,Scrap,2016,Jan,Australia,Na,"7,19,393.00",555.05,Actual
Japan,Import,Scrap,2016,Feb,Australia,Na,"1,51,171.00",134.45,Actual
Japan,Import,Scrap,2016,Mar,Australia,Na,"1,03,209.00",94.72,Actual
Japan,Import,Scrap,2016,Apr,Australia,Na,"1,18,731.00",108.07,Actual
Japan,Import,Scrap,2016,May,Australia,Na,"1,75,614.00",155.06,Actual
Japan,Import,Scrap,2016,Jun,Australia,Na,"1,74,506.00",135.73,Actual
Japan,Import,Scrap,2016,Jul,Australia,Na,"1,62,342.00",143.33,Actual
Japan,Import,Scrap,2016,Aug,Australia,Na,"1,78,520.00",114.47,Actual
Japan,Import,Scrap,2016,Sep,Australia,Na,"1,09,262.00",79.64,Actual
Japan,Import,Scrap,2016,Oct,Australia,Na,"2,01,058.00",167.06,Actual
Japan,Import,Scrap,2016,Nov,Australia,Na,"3,36,883.14",249.24,Estimate
Japan,Import,Scrap,2016,Dec,Australia,Na,"3,28,631.63",245.71,Estimate
Japan,Import,Scrap,2016,Jan,Brazil,Na,"58,343.00",21.68,Actual
Japan,Import,Scrap,2016,May,Brazil,Na,"51,805.00",20.04,Actual
Japan,Import,Scrap,2016,Nov,Brazil,Na,"43,624.37",3.16,Estimate
Japan,Import,Scrap,2016,Dec,Brazil,Na,"43,906.28",3.26,Estimate
Japan,Import,Scrap,2016,Jan,Canada,Na,"69,560.00",25.91,Actual
Japan,Import,Scrap,2016,Jan,China,Na,"6,32,360.00",284.36,Actual
Japan,Import,Scrap,2016,Feb,China,Na,"4,89,660.00",309.79,Actual
Japan,Import,Scrap,2016,Mar,China,Na,"4,66,397.00",253.80,Actual
Japan,Import,Scrap,2016,Apr,China,Na,"4,63,057.00",264.73,Actual
Japan,Import,Scrap,2016,May,China,Na,"6,14,864.00",263.62,Actual
Japan,Import,Scrap,2016,Jun,China,Na,"5,22,353.00",262.38,Actual
