Year_Month,USD,Tonnes
2017 January,218953570.4,115509.3842
2017 February,219035231.2,116353.1293
2017 March,219116892,117196.8752
2017 April,219198552.8,118040.6202
2017 May,219280213.6,118884.3657
2017 June,219348391.5,119727.1233
2017 July,223295435.9,123081.0257
2017 August,223066221.5,123752.4999
2017 September,0,0
2017 October,0,0
2017 November,0,0
2017 December,0,0
2016 January,144370984,82191.151
2016 February,203630534,117241.615
2016 March,215990408,127475.3
2016 April,174991431,98766.113
2016 May,234212105,135330.512
2016 June,242770717,141653.86
2016 July,168538959,95200.623
2016 August,218545266.4,111290.657
2016 September,218626927.2,112134.4029
2016 October,218708588,112978.1482
2016 November,218790248.8,113821.8937
2016 December,218871909.6,114665.6387
2015 January,200529432.2,85447.9321
2015 February,215494094.8,92056.6624
2015 March,218271070.1,95823.043
2015 April,177230094.1,76048.5189
2015 May,201146947.7,88154.6814
2015 June,225622355.1,104282.1996
2015 July,221160752.3,109742.7853
2015 August,120142810.9,60779.1488
2015 September,205452097,104859.1397
2015 October,203844761.5,107182.3095
2015 November,220082220.3,126265.7887
2015 December,146850245,81023.7932
2014 January,243553489.1,115951.7887
2014 February,155371775.4,70862.3662
2014 March,191636365.3,88800.8285
2014 April,199382918.8,94317.2623
2014 May,211687639.1,99962.7481
2014 June,189470091.1,87650.6481
2014 July,210071635.3,93739.406
2014 August,157164270.1,69284.142
2014 September,243153904.7,103297.4015
2014 October,235096480.1,97166.6273
2014 November,248921102.6,102092.559
2014 December,221788809.4,91128.0261
